dataset,acc_AODE,acc_COMP-AODE,acc_BMA-AODE,util_65_COMP-AODE*,util_65_BMA-AODE*,,,acc_AODE,acc_COMP-AODE,acc_BMA-AODE,util_80_BMA-AODE*,util_80_COMP-AODE*
labor,0.95455,0.95455,0.95636,0.95451,0.92561,,,0.95455,0.95455,0.95636,0.95606,0.9553
white_clover,0.73103,0.73269,0.67833,0.73716,0.72395,,,0.73103,0.73269,0.67833,0.79628,0.74003
postoperative_patient_data,0.64222,0.64222,0.64889,0.64711,0.63335,,,0.64222,0.64222,0.64889,0.69689,0.64978
zoo,0.96433,0.96433,0.96333,0.96498,0.65532,,,0.96433,0.96433,0.96333,0.71609,0.96513
lymph,0.85543,0.85611,0.76214,0.85651,0.77278,,,0.85543,0.85611,0.76214,0.83695,0.85692
iris,0.93667,0.93667,0.94,0.93687,0.95273,,,0.93667,0.93667,0.94,0.95813,0.93707
tae,0.42978,0.43301,0.42978,0.43462,0.43625,,,0.42978,0.43301,0.42978,0.44005,0.43817
grub_damage,0.40903,0.3871,0.31484,0.38982,0.38,,,0.40903,0.3871,0.31484,0.42355,0.39135
hepatitis,0.84968,0.85097,0.85613,0.85177,0.86532,,,0.84968,0.85097,0.85613,0.8929,0.85226
hayes_roth,0.53563,0.53563,0.535,0.53987,0.53722,,,0.53563,0.53563,0.535,0.53975,0.54475
wine,0.98317,0.98317,0.98317,0.98317,0.92264,,,0.98317,0.98317,0.98317,0.95087,0.98317
sonar,0.85336,0.85527,0.83262,0.85662,0.83798,,,0.85336,0.85527,0.83262,0.87589,0.85749
glass,0.76638,0.76683,0.75929,0.76278,0.71044,,,0.76638,0.76683,0.75929,0.75043,0.76334
heart_h,0.84932,0.85035,0.84694,0.85101,0.84547,,,0.84932,0.85035,0.84694,0.86129,0.85116
heart_c,0.83168,0.83167,0.80891,0.83188,0.83376,,,0.83168,0.83167,0.80891,0.86189,0.83207
haberman,0.75365,0.75431,0.75333,0.75362,0.75433,,,0.75365,0.75431,0.75333,0.75614,0.75686
solarflare_C,0.86843,0.87557,0.86011,0.87695,0.85116,,,0.86843,0.87557,0.86011,0.8706,0.87756
solarflare_M,0.86225,0.86006,0.8458,0.85987,0.84461,,,0.86225,0.86006,0.8458,0.86666,0.86098
solarflare_X,0.94735,0.95416,0.95728,0.93545,0.95049,,,0.94735,0.95416,0.95728,0.96307,0.94772
ecoli,0.83457,0.83457,0.82654,0.83457,0.84151,,,0.83457,0.83457,0.82654,0.85876,0.83457
liver_disorders,0.63188,0.63188,0.63188,0.63188,0.63188,,,0.63188,0.63188,0.63188,0.63188,0.63188
ionosphere,0.9336,0.93359,0.92251,0.93339,0.81267,,,0.9336,0.93359,0.92251,0.88734,0.93348
monks3,0.97039,0.97311,0.98465,0.97345,0.98475,,,0.97039,0.97311,0.98465,0.98664,0.97361
monks1,0.96292,1,1,1,1,,,0.96292,1,1,1,1
monks2,0.65156,0.6489,0.59547,0.64991,0.59865,,,0.65156,0.6489,0.59547,0.67088,0.65133
credit_a,0.85971,0.85913,0.84174,0.85941,0.85725,,,0.85971,0.85913,0.84174,0.88762,0.85954
breast_w,0.97153,0.97139,0.96281,0.97148,0.94461,,,0.97153,0.97139,0.96281,0.95958,0.9715
diabetes,0.7844,0.78466,0.77723,0.78462,0.79121,,,0.7844,0.78466,0.77723,0.81268,0.78497
anneal,0.98513,0.98513,0.98699,0.98513,0.43511,,,0.98513,0.98513,0.98699,0.53359,0.98513
credit_g,0.757,0.7573,0.7299,0.75764,0.75997,,,0.757,0.7573,0.7299,0.82358,0.75792
cmc,0.5231,0.52321,0.51585,0.52359,0.54445,,,0.5231,0.52321,0.51585,0.57459,0.52391
yeast,0.5958,0.5958,0.58816,0.59576,0.58998,,,0.5958,0.5958,0.58816,0.60815,0.59577
segment,0.9632,0.9632,0.94372,0.9632,0.35725,,,0.9632,0.9632,0.94372,0.45165,0.9632
kr_vs_kp,0.89457,0.89588,0.93951,0.89585,0.8583,,,0.89457,0.89588,0.93951,0.91545,0.89586
hypothyroid,0.98913,0.98913,0.99364,0.98913,0.83171,,,0.98913,0.98913,0.99364,0.893,0.98913
waveform,0.85588,0.86135,0.83542,0.86142,0.68041,,,0.85588,0.86135,0.83542,0.78633,0.86148
page_blocks,0.96528,0.9655,0.96519,0.96552,0.58719,,,0.96528,0.9655,0.96519,0.70296,0.96552
pendigits,0.9793,0.9793,0.95565,0.9793,0.21318,,,0.9793,0.9793,0.95565,0.28296,0.9793
nursery,0.92596,0.926,0.92059,0.92598,0.90778,,,0.92596,0.926,0.92059,0.93382,0.92599
