Dataset;[4];[1];'';[2];'';[3];'';[5];'';[6];''
anneal-weka.filters.unsup;96.09.00;92.52.00;*;97.11.00;' ';94.95;' ';95.86;' ';96.66;' '
audiology-ReplaceMissingV;70.91;63.60;*;68.41.00;' ';63.78;*;70.86;' ';73.16.00;' '
wisconsin-breast-cancer-w;96.68;97.06.00;' ';96.00.00;' ';96.88;' ';96.66;' ';96.68;' '
cmc-weka.filters.unsuperv;52.31.00;50.67;' ';52.27.00;' ';52.30.00;' ';52.35.00;' ';52.31.00;' '
contact-lenses-weka.filte;74.72;79.44.00;' ';55.00.00;' ';78.06.00;' ';74.44.00;' ';74.72;' '
credit-ReplaceMissingValu;86.81;86.43.00;' ';85.51.00;' ';87.18.00;' ';86.92;' ';86.66;' '
german_credit-weka.filter;74.88;74.98;' ';75.37.00;' ';75.03.00;' ';74.87;' ';74.91;' '
pima_diabetes-weka.filter;74.45.00;74.06.00;' ';74.05.00;' ';74.58.00;' ';74.45.00;' ';74.45.00;' '
ecoli-weka.filters.unsupe;80.10.00;79.72;' ';78.47.00;' ';80.32.00;' ';80.08.00;' ';80.28.00;' '
eucalyptus-ReplaceMissing;55.33.00;49.90;' ';57.92;' ';54.76;' ';54.48.00;' ';56.11.00;' '
Glass-weka.filters.unsupe;71.56.00;63.30.00;' ';71.40.00;' ';72.02.00;' ';66.70;' ';71.56.00;' '
grub-damage-weka.filters.;41.29.00;47.14.00;' ';39.36.00;' ';45.94;' ';44.82;' ';41.29.00;' '
haberman-weka.filters.uns;70.94;73.46.00;' ';66.84;' ';72.53.00;' ';71.85;' ';70.94;' '
hayes-roth-weka.filters.u;75.46.00;76.92;' ';72.08.00;' ';69.42.00;' ';74.04.00;' ';75.46.00;' '
cleveland-14-heart-diseas;82.57.00;83.28.00;' ';81.98;' ';82.62;' ';82.64;' ';82.57.00;' '
hungarian-14-heart-diseas;83.76;83.47.00;' ';82.47.00;' ';83.20.00;' ';83.42.00;' ';83.61;' '
hepatitisReplaceMissingVa;83.80;84.31.00;' ';84.22.00;' ';83.88;' ';84.66;' ';83.80;' '
hypothyroid-ReplaceMissin;93.37.00;93.37.00;' ';93.28.00;' ';93.34.00;' ';93.34.00;' ';93.46.00;' '
ionosphere-weka.filters.u;91.40.00;88.81;' ';91.13.00;' ';91.41.00;' ';91.40.00;' ';91.43.00;' '
iris-weka.filters.unsuper;93.11.00;88.36.00;' ';91.87;' ';93.47.00;' ';88.36.00;' ';93.11.00;' '
kr-vs-kp-weka.filters.uns;90.84;87.39.00;*;92.09.00;' ';90.55.00;' ';90.81;' ';92.15.00;v
labor.ReplaceMissingValue;92.98;93.56.00;' ';93.44.00;' ';94.27.00;' ';93.69;' ';92.98;' '
letter-weka.filters.unsup;80.53.00;64.53.00;*;78.41.00;*;79.65;*;80.53.00;' ';80.53.00;' '
liver-disorders-weka.filt;64.75;63.55.00;' ';65.08.00;' ';64.58.00;' ';64.69;' ';64.75;' '
lymphography-weka.filters;84.68;83.69;' ';83.65;' ';84.68;' ';85.09.00;' ';84.91;' '
monks3_Reorder-weka.filte;97.28.00;96.39.00;' ';98.12.00;' ';96.91;' ';97.28.00;' ';97.28.00;' '
monks1-tr-te-Reorder-weka;85.38.00;73.98;*;100.00.00;v;85.48.00;' ';85.38.00;' ';85.38.00;' '
monks3_Reorder-weka.filte;97.28.00;96.39.00;' ';98.12.00;' ';96.91;' ';97.28.00;' ';97.28.00;' '
monks-2_reorder-weka.filt;63.72;60.83;' ';65.67;' ';63.96;' ';63.72;' ';63.72;' '
mushroom-weka.filters.uns;99.96;94.86;*;99.95;' ';99.93;' ';99.95;' ';99.95;' '
nursery-weka.filters.unsu;92.62;90.23.00;*;94.00.00;v;92.60;' ';92.62;' ';92.62;' '
optdigits-weka.filters.un;96.65;91.35.00;*;95.40.00;*;96.17.00;*;96.65;' ';96.74;' '
page-blocks-weka.filters.;94.73;83.95;*;95.12.00;' ';94.96;' ';94.73;' ';94.73;' '
pasture-production-weka.f;68.52.00;76.85;' ';74.26.00;' ';72.78;' ';76.48.00;' ';68.52.00;' '
pendigits-weka.filters.un;96.92;84.88;*;95.56.00;*;96.67;*;96.92;' ';96.92;' '
postoperative-patient-dat;62.52.00;65.19.00;' ';60.37.00;' ';65.04.00;' ';62.22.00;' ';62.52.00;' '
primary-tumor.ReplaceMiss;45.63;44.25.00;' ';45.08.00;' ';45.19.00;' ';45.57.00;' ';45.51.00;' '
segment-weka.filters.unsu;93.30.00;80.67;*;93.25.00;' ';92.78;' ';93.30.00;' ';93.33.00;' '
solar-flare-C-weka.filter;87.76;85.04.00;' ';88.36.00;' ';88.05.00;' ';86.40.00;' ';87.57.00;' '
solar-flare-m-weka.filter;87.37.00;86.85;' ';87.51.00;' ';87.47.00;' ';87.08.00;' ';87.18.00;' '
solar-flare-X-weka.filter;97.01.00;94.63;' ';97.32.00;' ';97.48.00;' ';95.42.00;' ';96.93;' '
sonar-weka.filters.unsupe;80.22.00;75.32.00;' ';79.52.00;' ';80.61;' ';77.56.00;' ';80.22.00;' '
soybean-ReplaceMissingVal;93.37.00;90.84;*;93.62;' ';92.07.00;' ';93.37.00;' ';93.36.00;' '
spambase-weka.filters.uns;93.77;89.04.00;*;91.94;*;93.05.00;*;93.69;' ';93.80;' '
spect-reordered-weka.filt;80.40.00;77.48.00;' ';80.95;' ';80.40.00;' ';80.43.00;' ';80.40.00;' '
splice-weka.filters.unsup;96.14.00;95.20.00;*;95.90;' ';95.72;*;96.14.00;' ';96.14.00;' '
squash-stored-ReplaceMiss;64.74;61.67;' ';65.51.00;' ';64.23.00;' ';63.46.00;' ';64.74;' '
squash-unstored-ReplaceMi;65.13.00;62.56.00;' ';67.56.00;' ';66.03.00;' ';67.18.00;' ';65.13.00;' '
tae-weka.filters.unsuperv;48.87;47.29.00;' ';48.17.00;' ';48.16.00;' ';45.83;' ';48.87;' '
vowel-weka.filters.unsupe;79.48.00;50.69;*;80.37.00;' ';74.59.00;*;78.62;' ';79.48.00;' '
waveform-weka.filters.uns;84.12.00;80.01.00;*;84.18.00;' ';84.15.00;' ';84.12.00;' ';84.12.00;' '
white-clover-weka.filters;60.87;51.81;' ';61.61;' ';62.02.00;' ';57.02.00;' ';60.87;' '
wine-Reorder-weka.filters;97.15.00;97.45.00;' ';97.12.00;' ';96.93;' ';97.60;' ';97.15.00;' '
yeast-weka.filters.unsupe;54.68;54.70;' ';53.97;' ';54.53.00;' ';54.65;' ';54.57.00;' '
zoo-weka.filters.unsuperv;95.18.00;93.59.00;' ';95.58.00;' ';94.12.00;' ';94.72;' ';95.18.00;' '
'[v/ /*]';'';'';[0/39/16];'';[2/49/4];'';[0/48/7];'';[0/55/0];'';[1/54/0]
;;;;;;;;;;;
;;;;;;;;;;;
Key;;;;;;;;;;;
[1];'bayes.NaiveBayes \'\' 5995231201785697655';;;;;;;;;;
[2];'bayes.HNB \'\' -4503874444306113214';;;;;;;;;;
[3];'bayes.AODE \'-F 1\' 9197439980415113523';;;;;;;;;;
[4];'bayes.AODE \'-F 1 -M -W 1\' 9197439980415113523';;;;;;;;;;
[5];'bayes.AODE \'-F 30 -M -W 1\' 9197439980415113523';;;;;;;;;;
[6];'bayes.AODEsr \'-F 1 -M 1.0 -C 50\' 5602143019183068848';;;;;;;;;;
